"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"77","232.54794686214493","175.357944349814","0.0338134765625","0.02197265625","0.025390625","1560","0.0003199560061564411","32","0.0003199560061564411","0","0.0003199560061564411","0.0003199560061564411","78:0.002337491992066426;76:0.0026018515139508702","78:68;76:68","Yes","78:0.0049900352141372395;76:0.011082376970639324"
"78","93.12047065748604","111.88102681114096","0.0479736328125","0.0478515625","0.02880859375","1560","0.00039210894542085527","32","0.00039210894542085527","0","0.00039210894542085527","0.00039210894542085527","77:0.002337491992066426;79:0.014028801185828138;72:0.003560656525938788","77:68;79:88;72:120","Yes","77:0.0049900352141372395;79:0.02391751664392533;72:0.004511301835935372"
"79","43.15022445901205","27.135598805379537","0.0323486328125","0.06884765625","0.001953125","1560","0.0020933786522482063","32","0.0020933786522482063","0","0.0020933786522482063","0.0020933786522482063","78:0.014028801185828138;80:0.013500532186569242","78:88;80:68","Yes","78:0.02391751664392533;80:0.026005906345706403"
"80","140.07564932204295","25.396401661239608","0.02685546875","0.02294921875","0.01953125","1560","0.00033761976107578485","32","0.00033761976107578485","0","0.00033761976107578485","0.00033761976107578485","81:0.0023157951545452193;92:0.0012520299694802062;79:0.013500532186569242","81:68;92:68;79:68","Yes","81:0.0036725969990409613;92:0.0027102663500275237;79:0.026005906345706403"
"81","192.3867005514567","182.95264214370556","0.0091552734375","0.00634765625","0.0068359375","1560","0.00030849858962225986","32","0.00030849858962225986","0","0.00030849858962225986","0.00030849858962225986","80:0.0023157951545452193;82:0.0027445442628259986","80:68;82:68","Yes","80:0.0036725969990409613;82:0.005484377570092597"
"82","215.0972799319382","124.17142091243404","0.0655517578125","0.1279296875","0.0654296875","1560","0.0003108471184924007","32","0.0003108471184924007","0","0.0003108471184924007","0.0003108471184924007","81:0.0027445442628259986;83:0.003742292921618179;73:0.002268769781644364","81:68;83:68;73:88","Yes","81:0.005484377570092597;83:0.006554540927604713;73:0.005829247376653662"
"83","183.75418357702264","97.27993669912593","0.021484375","0.0107421875","0.0244140625","1560","0.00034498020294037115","32","0.00034498020294037115","0","0.00034498020294037115","0.00034498020294037115","82:0.003742292921618179;84:0.004178008795746757","82:68;84:108","Yes","82:0.006554540927604713;84:0.010014602984121795"
"84","210.7970076859853","148.69695059372395","0.058349609375","0.06201171875","0.03857421875","1560","0.0006320217657363468","32","0.0006320217657363468","0","0.0006320217657363468","0.0006320217657363468","93:0.013224105545150605;83:0.004178008795746757;85:0.049424314371559946","93:68;83:108;85:88","Yes","93:0.008268018828467838;83:0.010014602984121795;85:0.13558035277727568"
"85","3.241929229933744","7.0554645833797025","0.0364990234375","0.05615234375","0.01171875","1560","0.004236535487300201","32","0.004236535487300201","0","0.004236535487300201","0.004236535487300201","86:0.01912731302536405;84:0.049424314371559946","86:68;84:88","Yes","86:0.012512674795908618;84:0.13558035277727568"
"86","235.62050961586633","137.24126416410888","0.278076171875","0.44482421875","0.04345703125","1560","0.00031302468462137957","32","0.00031302468462137957","0","0.00031302468462137957","0.00031302468462137957","85:0.01912731302536405;74:0.0015611573863896222;87:0.011782794911806393","85:68;74:68;87:68","Yes","85:0.012512674795908618;74:0.0028456293263474375;87:0.0020389545720642943"
